X_mean,X_std,X_min,X_max,X_median,X_energy,X_entropy,X_iqr,Y_mean,Y_std,Y_min,Y_max,Y_median,Y_energy,Y_entropy,Y_iqr,Z_mean,Z_std,Z_min,Z_max,Z_median,Z_energy,Z_entropy,Z_iqr,signal_magnitude_area,corr_xy,corr_xz,corr_yz,peak_freq_x,peak_freq_y,peak_freq_z,skew_x,skew_y,skew_z,kurt_x,kurt_y,kurt_z,activity,user_id
-1.0378663642085937,2.0429618973230665,-8.082993,3.6513977,-0.78231812,672.1100676952871,2.813759295935285,2.5907822,9.7013579921875,4.014952246781699,1.6477356,18.787323,9.2743225,14110.232119874263,3.128737097857935,6.147033875000001,0.25305032568984376,2.3329001226485393,-9.686493,6.4721985,0.123794555,704.8265535469193,2.4885433086341378,2.4100761425000004,10.174830089410824,-0.2242798472145688,0.2198808004101727,-0.19018489407641292,32,13,115,-0.6299217482573735,0.17241112267727451,-0.7569431032087902,0.6906518503305898,-0.7005075902970694,2.1598271212217197,A,1600
-1.337386736078125,2.0579918571082674,-8.082993,2.628891,-1.0915069499999999,771.0635220174893,2.9133054687984625,2.8135452174999998,9.55765224609375,4.097883321906204,1.6477356,18.787323,9.163818,13842.094614683894,3.1634184911307397,6.428562050000001,0.3784220207367188,2.396149226901403,-9.686493,8.261765,0.197776795,753.2459959499075,2.2388313934999164,2.1607513075,10.086390932657485,-0.3037085318352825,0.12325275802073822,-0.12565156482398274,32,13,13,-0.5335923273369779,0.09382376163253567,-0.532748588416623,0.009614111275414672,-0.7898556499415132,2.6218558950224704,A,1600
-1.497177365671875,2.2449660532388864,-8.111908,3.6415863,-1.1699295,932.02081849282,2.8993976764231277,2.82358552575,9.538180589062499,3.9670492729809705,1.8292236,18.087036,9.193999999999999,13659.43921712992,3.185773398730313,6.1457478750000005,0.6271921408203125,2.299723165318385,-7.444763,8.261765,0.36700439,727.3083671819237,2.443861239798021,2.6427116300000004,10.113521482021685,-0.36736484933662944,0.1818207277682383,0.012464607210390218,32,13,13,-0.5877586702827773,0.07021549414114037,-0.2282368425399646,0.25487368724204673,-0.7818964247871771,1.5499092267893317,A,1600
-1.5187199160312501,2.372834941967721,-8.181854,3.6415863,-1.18676755,1015.9175481821344,2.927187899962659,2.9314117349999997,9.509775746875,4.00995958903741,1.2228546,18.672226,9.308876000000001,13633.998164680324,3.1219034728090507,5.856418775,0.4527882306562499,2.3828055884247608,-7.444763,8.010345,0.29432678,752.9957957182835,2.54011841238401,2.9023742450000003,10.109456668333014,-0.3733142829895711,0.18096329190688953,-0.032989414003026865,32,13,13,-0.6953099790408979,0.10334002044231518,-0.3530057670583785,0.357111016043949,-0.6431289911950402,1.2184247343733814,A,1600
-1.4430036534765627,2.123457266840492,-8.181854,3.257019,-1.25549315,843.6902794296833,2.8350243605392484,2.6627654975,9.538528890624999,4.091654416470179,1.2228546,18.672226,9.702438,13788.821665421789,3.126877332493163,5.747550674999999,0.3855854225390625,2.1741665750995276,-6.5221252,8.010345,0.25508880500000003,624.0865810373937,2.5920174969067498,2.512893685,10.04610656158314,-0.3759201734210572,0.19866616928645656,-0.07175894707462432,32,13,115,-0.7114041715055353,0.062513660944846,-0.172318487917423,0.35025707874905265,-0.5944014881568545,1.0891462669784735,A,1600
-1.5010648903203125,2.151998943956355,-8.546417,3.257019,-1.35497285,881.1897932469248,2.8262189255171375,2.78501890125,9.59140061953125,3.975070924510471,1.3636627,18.526184,9.631461999999999,13797.907801501822,3.0902852116923567,5.69222995,0.36723172370312496,1.9627436330860395,-5.148575,5.531952,0.22666931,510.3643786385605,2.8132427647691243,2.4089737049999997,10.085542687356408,-0.3722869619321691,0.34869109680996496,-0.10400574099232142,32,13,13,-0.6891992630957118,-0.0851612434609906,-0.3543132610879299,0.38256393274854794,-0.7812843113015444,0.4661675561843457,A,1600
-1.6176756594843749,2.2500760315559196,-8.546417,5.3017273,-1.4204712,983.0037359450423,2.6615929913436567,2.7982711715,9.30334832734375,3.9354858930313275,1.3636627,18.914047,9.002342500000001,13061.163432209707,3.0813207960063167,5.4998587500000005,0.43984448579687496,2.177879944200563,-6.078949,6.125534,0.29581451000000003,631.8879005487315,2.7506767795038742,2.341758745,9.885867186207662,-0.3135665082957861,0.3663076813398952,-0.11147040626237553,32,13,13,-0.6524364557173025,0.06169485079907327,-0.20123456487944638,1.1837612397206092,-0.8305146953651761,0.7859981634037969,A,1600
-1.7548853165078122,2.2654106371762395,-8.815857,5.3017273,-1.4827118000000001,1051.0986021281255,2.533152027133431,2.821144107,9.333680287499998,3.9106889425603524,1.5604553,18.914047,9.230728,13108.617691485426,3.1277401169200543,5.256748325,0.4857379176796875,2.39709424679693,-6.078949,6.8856354,0.18550872499999999,765.6962755454389,2.792516865217394,2.5631904975,9.972191020589765,-0.33556608770505486,0.23220427066002064,-0.05266990595926661,32,13,13,-0.7369314945647939,0.09499431395949062,-0.089605049626953,1.272659766601837,-0.7464962483838118,0.5378800492057927,A,1600
-1.7887055860242187,2.1170008304079424,-8.815857,2.1112823,-1.49448395,983.1885042460366,2.8199116741782184,3.0022353862499997,9.46446417578125,3.9192277921844614,1.5604553,18.967987,9.3368605,13431.862863574752,3.1037628195668283,5.775199625000001,0.5389276743359375,2.235976342004774,-5.680649,6.8856354,0.19332122499999999,677.1242547417844,2.7085194005936124,2.5228805875,10.059750587857156,-0.3671310734716821,0.15025233334558924,0.02808701217408726,32,115,13,-0.699623652404074,0.10600381813648618,0.0658746287037154,0.23643165723201687,-0.6033730461939988,0.8047113927213045,A,1600
-1.6851799478289062,1.9577996643885525,-6.69606,2.598297,-1.4489288,854.1198057529041,3.019983464910993,2.8616561475,9.487168649609375,3.8866131812409015,0.96232605,18.967987,9.464088499999999,13454.35276886099,3.10951589857196,5.654994650000002,0.4774798155625001,2.111928874924891,-5.680649,6.2303314,0.19265747,600.0935100174229,2.777045560383449,2.1327247849999997,10.03680409406974,-0.32114208838309627,0.22917867156306326,0.030183792551802684,19,13,13,-0.32492742742707476,0.02241407513845686,0.07686894718574606,-0.47393196251069813,-0.5743663475852996,0.6638774575581472,A,1600
